REF_DATE,GEO,DGUID,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1998,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,11.8,,,,1
1999,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.2,,,,1
2000,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.4,,,,1
2001,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.3,,,,1
2002,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.2,,,,1
2003,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.3,,,,1
2004,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.0,,,,1
2005,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.4,,,,1
2006,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,13.0,,,,1
2007,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.8,,,,1
2008,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.4,,,,1
2009,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.1,,,,1
2010,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.1,,,,1
2011,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,11.9,,,,1
2012,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,11.8,,,,1
2013,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,11.2,,,,1
2014,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,10.7,,,,1
2015,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,10.2,,,,1
2016,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,10.4,,,,1
2017,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,10.3,,,,1
2018,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,10.0,,,,1
2019,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,9.1,,,,1
2020,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,6.8,,,,1
1970,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,203.4,,,,1
1971,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,204.6,,,,1
1972,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,217.4,,,,1
1973,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,241.9,,,,1
1974,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,292.1,,,,1
1975,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,318.3,,,,1
1976,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,330.5,,,,1
1977,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,329.6,,,,1
1978,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,335.1,,,,1
1979,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,341.1,,,,1
1980,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,351.0,,,,1
1981,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,378.4,,,,1
1982,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,392.3,,,,1
1983,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,378.2,,,,1
1984,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,356.4,,,,1
1985,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,337.3,,,,1
1986,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,413.9,,,,1
1987,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,516.5,,,,1
1988,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,445.9,,,,1
1989,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,430.8,,,,1
1990,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,422.8,,,,1
1991,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,408.2,,,,1
1992,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,418.4,,,,1
1993,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,412.9,,,,1
1994,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,417.2,,,,1
